ipv4,ipv6,country,region,city,latitude,longitude,serverid,servername,useragent,connectiontype,ispname,ispnameraw,download_kbps,upload_kbps,ping_ms,jitter,testid,resultDate,local_time,download_mbps,upload_mbps,isp
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,317922.0,297398.0,6,1,18390215-253a-bb8d-ja2b-5cfdd5cfb2a9,2025-10-24 15:19:39+00:00,2025-10-24 22:19:39+07:00,317.922,297.398,Viettel Group
171.225.184.0,,Vietnam,Da Nang,Tuyen Hoa,16.03,108.22,72434,Tam Ky,Chrome,,Viettel,Viettel Group,241988.0,,12,2,18390218-948a-bb8d-ja2b-8jeii4jib2a9,2025-10-24 15:20:31+00:00,2025-10-24 22:20:31+07:00,241.988,,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,269579.0,243485.0,4,0,18390273-631a-bb8d-ja2h-3gdbb3gdh2a9,2025-10-24 15:33:43+00:00,2025-10-24 22:33:43+07:00,269.579,243.485,Viettel Group
221.132.15.0,,Vietnam,,,16.17,107.83,72434,Tam Ky,Firefox,,Vinaphone,VNPT,348107.0,308563.0,19,0,18390288-099a-bb8d-ja2i-8ajjj9aii2a9,2025-10-24 15:37:16+00:00,2025-10-24 22:37:16+07:00,348.107,308.563,VNPT
116.111.225.0,,Vietnam,Quang Nam Province,Gia Phuoc,15.63,108.38,72434,Tam Ky,Chrome,,Viettel,Viettel Group,527193.0,323408.0,3,27,18390320-347a-bb8d-ja3c-0dehh4dac3a9,2025-10-24 15:44:59+00:00,2025-10-24 22:44:59+07:00,527.193,323.408,Viettel Group
113.167.91.0,,Vietnam,Thanh Hoa,Phu Ly,19.85,105.68,72434,Tam Ky,Firefox,,Vinaphone,VNPT,614930.0,321524.0,18,1,18390335-842a-bb8d-ja3d-5iecc4ifd3a9,2025-10-24 15:48:47+00:00,2025-10-24 22:48:47+07:00,614.93,321.524,VNPT
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,189857.0,191795.0,4,0,18390345-935a-bb8d-ja3e-5jdff3jfe3a9,2025-10-24 15:51:17+00:00,2025-10-24 22:51:17+07:00,189.857,191.795,Viettel Group
117.2.253.0,,Vietnam,Da Nang,Da Nang,16.07,108.22,72434,Tam Ky,CHROME,,Viettel,Viettel Group,309425.0,315021.0,10,1,18390368-900a-bb8d-ja3g-8jaaa0jig3a9,2025-10-24 15:56:57+00:00,2025-10-24 22:56:57+07:00,309.425,315.021,Viettel Group
,2402:800:6236::,Vietnam,Quang Nam Province,Thăng Bình,15.73,108.37,72434,Tam Ky,Chrome,,Viettel,Viettel Group,422647.0,453119.0,3,0,18390374-673a-bb8d-ja3h-4ghdd7geh3a9,2025-10-24 15:58:24+00:00,2025-10-24 22:58:24+07:00,422.647,453.119,Viettel Group
,2402:800:620e::,Vietnam,Quang Nam Province,Dai Loc,15.65,108.23,72434,Tam Ky,Chrome,,Viettel,Viettel Group,206183.0,234035.0,4,1,18390525-307a-bb8d-ja5c-5dahh0dfc5a9,2025-10-24 16:35:59+00:00,2025-10-24 23:35:59+07:00,206.183,234.035,Viettel Group
