"resultDate","ipAddress","ipv6 address","country","region","city","latitude","longitude","serverId","serverName","userAgent","connectionType","ispName","ispNameRaw","download (Kbps)","upload (Kbps)","ping (ms)","jitter","testId"
"2025-10-24T13:26:57.000Z",,"2001:ee0:1c03::","Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","Chrome","n/a","Vinaphone","VNPT","647.00","n/a",102,471,"18389731-432a-bb8d-ij7d-1edcc3ebd7j8"
"2025-10-24T13:03:08.000Z","171.234.12.0",,"Vietnam","Quang Ngai","Nghĩa Hành",15.05,108.78,72434,"Tam Ky","Edge","n/a","Viettel","Viettel Group","82373.00","7200.00",20,5,"18389637-091a-bb8d-ij6d-7ajbb9ahd6j8"
"2025-10-24T12:56:18.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","170046.00","60872.00",4,0,"18389609-351a-bb8d-ij6a-9dfbb5dja6j8"
"2025-10-24T12:55:28.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","33352.00","14156.00",5,0,"18389605-937a-bb8d-ij6a-5jdhh3jfa6j8"
"2025-10-24T12:53:54.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","45581.00","20130.00",5,2,"18389599-468a-bb8d-ij5j-9egii6ejj5j8"
"2025-10-24T12:50:12.000Z","171.225.184.0",,"Vietnam","Da Nang","Tuyen Hoa",16.03,108.22,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","378418.00","n/a",18,4,"18389584-543a-bb8d-ij5i-4fedd4fei5j8"
"2025-10-24T12:48:55.000Z","113.185.106.0",,"Vietnam","Da Nang","Da Nang",16.07,108.22,72434,"Tam Ky","Chrome","n/a","Vinaphone","VNPT","16277.00","n/a",29,5,"18389579-602a-bb8d-ij5h-9gacc0gjh5j8"
"2025-10-24T12:45:19.000Z","116.103.147.0",,"Vietnam","Quang Nam Province","Gia Phuoc",15.63,108.38,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","11163.00","14856.00",6,1,"18389565-535a-bb8d-ij5g-5fdff3ffg5j8"
"2025-10-24T12:45:10.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","EDGE","n/a","Viettel","Viettel Group","319670.00","215963.00",4,0,"18389564-935a-bb8d-ij5g-4jdff3jeg5j8"
"2025-10-24T12:44:22.000Z",,"2402:800:620e::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","EDGE","n/a","Viettel","Viettel Group","317707.00","218227.00",5,2,"18389561-785a-bb8d-ij5g-1hiff8hbg5j8"
"2025-10-24T12:44:19.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Tien Phuoc",15.48,108.3,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","2847.00","45929.00",6,58,"18389561-620a-bb8d-ij5g-1gcaa2gbg5j8"
"2025-10-24T12:35:49.000Z",,"2402:800:6238::","Vietnam","Quảng Trị Province","Quảng Trị",16.75,107.2,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","101624.00","125676.00",14,43,"18389528-786a-bb8d-ij5c-8higg8hic5j8"
"2025-10-24T12:35:15.000Z",,"2402:800:62f6::","Vietnam","Quang Nam Province","Dai Loc",15.65,108.23,72434,"Tam Ky","EDGE","n/a","Viettel","Viettel Group","79878.00","105837.00",4,12,"18389526-562a-bb8d-ij5c-6fgcc6fgc5j8"
"2025-10-24T12:32:15.000Z",,"2402:800:6236::","Vietnam","Quang Nam Province","Cẩm An",15.57,108.33,72434,"Tam Ky","Chrome","n/a","Viettel","Viettel Group","93399.00","93132.00",2,0,"18389515-265a-bb8d-ij5b-5cgff6cfb5j8"
